materiale,temperatura_estrusore,temperatura_piatto,velocita_stampa,umidita_ambientale,usura_motore,livello_vibrazioni,tempo_stampa_ore,sintomi,guasto
NYLON,215,60,63,73,2733,7,32.1,TempInstabile;OdoreBruciato;TicchettioEstrusore;HomeFallito,ProblemaElettrico
PLA,202,61,52,80,2950,23,72.3,PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,202,48,82,65,1495,10,38.9,Warping,ProblemaAdesione
ASA,203,72,64,41,694,16,16.2,TempTroppoAlta,GuastoTermico
ABS,233,45,44,71,1423,25,81.6,RumoreCinghia;SottoEstrusione;SchermoNero,GuastoMeccanico
ASA,193,26,81,63,1126,10,6.5,Warping;SchermoNero,ProblemaAdesione
PLA,215,41,92,41,2571,15,81.5,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
PETG,213,43,124,83,3693,34,93.5,OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,153,45,42,63,2427,21,23.2,TempTroppoAlta,GuastoTermico
ASA,199,55,136,35,5817,57,10.7,SottoEstrusione,GuastoMeccanico
PETG,209,65,129,61,2853,20,57.4,HomeFallito;SchermoNero,ProblemaElettrico
PLA,205,74,106,60,3835,25,5.3,PiattoFreddo,ProblemaAdesione
TPU,155,77,95,51,3793,13,85.2,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,159,64,113,51,4891,21,51.5,PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,238,63,105,45,418,18,64.9,TempInstabile;VentolaRumorosa;SchermoNero,ProblemaElettrico
PLA,261,79,74,50,4659,22,68.6,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
ABS,212,73,97,90,2677,21,63.5,OdoreBruciato,ProblemaElettrico
ABS,225,63,124,86,1792,17,64.2,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
ASA,215,74,44,37,248,15,42.8,LayerSpostati,GuastoMeccanico
PETG,255,74,99,70,1062,5,85.2,PiattoFreddo,GuastoTermico
ABS,226,58,105,80,2997,8,65.8,HomeFallito,GuastoMeccanico
PLA,240,80,128,47,6273,53,15.7,LayerSpostati;SottoEstrusione,GuastoMeccanico
NYLON,214,57,51,79,1886,8,5.3,HomeFallito,GuastoMeccanico
NYLON,208,59,144,47,288,10,86.7,Warping;FilamentoNonEsce,ProblemaAdesione
NYLON,219,23,59,63,3629,22,54.6,FilamentoNonEsce,ProblemaAdesione
PC,201,22,145,54,623,18,58.4,Warping,ProblemaAdesione
PETG,231,40,116,48,2643,23,91.5,VentolaRumorosa;SchermoNero,ProblemaElettrico
TPU,220,73,161,62,6918,30,77.1,LayerSpostati;SottoEstrusione,GuastoMeccanico
TPU,266,53,109,45,3920,22,60.9,VentolaRumorosa,GuastoTermico
PETG,203,61,72,79,2112,21,16.7,TempTroppoAlta;PiattoFreddo;SchermoNero,GuastoTermico
TPU,210,44,45,37,1390,18,92.6,OdoreBruciato;HomeFallito,ProblemaElettrico
PC,205,40,144,53,442,13,19.2,LayerSpostati;TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
PETG,240,40,130,64,1685,14,77.9,OdoreBruciato;VentolaRumorosa,ProblemaElettrico
ASA,225,70,174,72,4319,48,90.3,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
TPU,231,48,95,40,1234,19,16.5,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PC,206,47,152,37,4061,55,46.8,LayerSpostati;HomeFallito,GuastoMeccanico
PLA,231,59,189,37,3867,54,35.9,SottoEstrusione,GuastoMeccanico
ABS,238,23,126,35,451,14,88.1,PiattoFreddo,ProblemaAdesione
PLA,204,73,125,70,2835,7,26.9,TempTroppoAlta,GuastoTermico
PETG,203,49,82,69,1259,10,8.9,Warping;FilamentoNonEsce,ProblemaAdesione
TPU,230,72,178,74,4760,39,55.0,TicchettioEstrusore,GuastoMeccanico
PC,240,62,69,88,2345,10,48.7,TempInstabile;OdoreBruciato,ProblemaElettrico
ASA,202,49,71,80,508,18,42.8,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,226,52,78,45,3667,12,39.9,PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
NYLON,225,62,66,53,1729,11,42.8,TempTroppoAlta;PiattoFreddo,GuastoTermico
PETG,201,73,173,73,6873,36,23.4,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
TPU,208,25,116,85,3125,20,10.8,Warping;PiattoFreddo,ProblemaAdesione
PETG,212,21,104,79,2994,7,52.8,FilamentoNonEsce,ProblemaAdesione
PC,237,52,119,48,3865,5,62.6,Warping;FilamentoNonEsce;SchermoNero,ProblemaAdesione
NYLON,159,70,108,44,4673,13,79.5,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,194,70,149,40,3175,37,79.7,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,213,40,112,51,2430,20,46.5,TicchettioEstrusore,GuastoMeccanico
PETG,224,57,57,68,651,14,82.8,HomeFallito;VentolaRumorosa,ProblemaElettrico
ABS,253,79,92,51,3168,22,69.2,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,200,46,76,79,3875,23,21.1,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
ASA,228,49,119,70,2205,8,88.4,TempInstabile;HomeFallito,ProblemaElettrico
ABS,222,42,75,64,381,20,71.3,Warping,ProblemaAdesione
ASA,166,52,148,31,1373,14,48.0,VentolaRumorosa,GuastoTermico
TPU,218,42,145,50,3122,60,14.7,LayerSpostati;HomeFallito,GuastoMeccanico
TPU,153,48,133,51,1033,25,18.0,SchermoNero;VentolaRumorosa,GuastoTermico
PETG,199,69,102,78,2430,22,64.5,SchermoNero;VentolaRumorosa,GuastoTermico
ABS,197,33,59,47,3663,8,76.2,Warping;PiattoFreddo,ProblemaAdesione
NYLON,236,31,101,75,631,18,3.5,PiattoFreddo,ProblemaAdesione
PETG,208,66,68,87,1448,23,40.4,OdoreBruciato;TicchettioEstrusore;HomeFallito,ProblemaElettrico
PETG,226,79,100,44,2336,20,46.6,Warping;PiattoFreddo;SchermoNero,ProblemaAdesione
TPU,237,43,92,76,670,16,94.2,PiattoFreddo;VentolaRumorosa,GuastoTermico
PLA,234,66,186,40,3019,50,65.3,TicchettioEstrusore;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
ABS,208,54,57,45,277,23,76.1,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,167,41,133,74,1112,25,62.8,PiattoFreddo,GuastoTermico
TPU,235,72,193,79,5007,48,95.1,SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,265,67,111,76,4723,22,5.6,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,224,51,82,57,2121,12,3.6,SchermoNero,ProblemaElettrico
PETG,150,68,90,77,3633,8,21.9,SchermoNero;TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,238,69,168,32,4150,49,45.2,RumoreCinghia;LayerSpostati,GuastoMeccanico
PLA,191,72,136,46,1050,5,33.1,TempInstabile;SchermoNero,ProblemaElettrico
NYLON,240,52,105,85,1196,22,75.6,OdoreBruciato,ProblemaElettrico
ABS,192,52,113,61,1056,7,62.8,TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,215,72,105,32,584,10,26.9,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
TPU,216,66,97,77,2331,12,92.0,TempTroppoAlta,GuastoTermico
NYLON,204,72,97,88,2463,25,28.8,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ASA,206,70,150,59,6261,53,81.0,HomeFallito,GuastoMeccanico
PETG,212,55,65,34,3341,8,27.5,OdoreBruciato,ProblemaElettrico
TPU,239,76,131,69,3860,53,45.2,RumoreCinghia;SottoEstrusione;HomeFallito;SchermoNero,GuastoMeccanico
ABS,160,51,84,41,1024,15,51.9,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,235,78,127,75,2536,9,24.9,TempInstabile;OdoreBruciato,ProblemaElettrico
ASA,190,52,66,81,3873,8,3.5,HomeFallito,ProblemaElettrico
ABS,223,54,143,52,1774,13,89.5,RumoreCinghia;SottoEstrusione,GuastoMeccanico
ASA,214,39,58,56,1985,24,26.7,Warping,ProblemaAdesione
ABS,239,75,103,46,2939,14,68.7,LayerSpostati;HomeFallito,GuastoMeccanico
PLA,153,64,44,69,2281,23,38.5,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PC,232,80,194,79,6388,31,45.8,LayerSpostati,GuastoMeccanico
PETG,205,77,133,54,2506,8,35.0,Warping,ProblemaAdesione
PLA,163,51,92,47,3038,12,59.4,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,224,74,62,50,1562,23,78.8,TempInstabile;SchermoNero,ProblemaElettrico
PLA,253,70,88,37,4155,22,81.3,TempInstabile;PiattoFreddo,GuastoTermico
NYLON,201,49,170,65,6960,60,89.3,RumoreCinghia;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
ASA,164,60,101,78,1989,7,48.4,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,206,66,95,51,1279,25,77.9,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ASA,222,77,107,36,6416,59,28.6,TicchettioEstrusore;SchermoNero,GuastoMeccanico
ABS,192,47,80,62,2720,15,9.3,TempTroppoAlta,GuastoTermico
NYLON,209,64,133,38,3436,49,91.3,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
TPU,194,72,94,84,2069,20,37.2,HomeFallito,ProblemaElettrico
PLA,191,75,137,71,804,23,15.0,SottoEstrusione,GuastoMeccanico
NYLON,236,20,149,66,1203,21,11.7,Warping,ProblemaAdesione
PETG,203,60,140,60,4847,38,42.3,RumoreCinghia;SottoEstrusione;HomeFallito;VentolaRumorosa,GuastoMeccanico
PETG,235,58,186,70,5778,33,16.7,RumoreCinghia;TicchettioEstrusore;HomeFallito;VentolaRumorosa,GuastoMeccanico
TPU,212,59,46,82,236,16,79.3,TempInstabile;OdoreBruciato,ProblemaElettrico
TPU,168,52,125,56,3975,41,37.1,TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,205,42,87,76,1196,14,79.9,Warping;PiattoFreddo,ProblemaAdesione
PETG,213,58,197,52,6123,43,55.5,LayerSpostati;HomeFallito,GuastoMeccanico
ASA,232,45,183,64,3875,44,31.8,RumoreCinghia;LayerSpostati;SottoEstrusione,GuastoMeccanico
NYLON,273,64,119,41,2982,20,25.6,TempTroppoAlta;PiattoFreddo;HomeFallito,GuastoTermico
PETG,203,57,117,65,3891,43,55.8,SottoEstrusione;HomeFallito,GuastoMeccanico
PC,205,61,136,47,4139,37,43.9,LayerSpostati;SottoEstrusione,GuastoMeccanico
ASA,224,34,71,38,675,10,92.8,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,154,62,104,39,1730,25,90.3,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
NYLON,223,73,145,78,260,9,25.6,Warping,ProblemaAdesione
ASA,215,52,114,54,1331,17,28.1,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,226,54,113,60,2362,21,65.4,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ASA,261,48,47,51,1464,18,54.9,PiattoFreddo,GuastoTermico
ABS,209,53,65,48,3096,8,3.4,OdoreBruciato,ProblemaElettrico
NYLON,234,73,107,34,652,16,50.4,VentolaRumorosa,GuastoTermico
PETG,279,44,88,39,3586,13,55.7,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
ASA,232,57,67,54,1937,13,82.3,SottoEstrusione,GuastoMeccanico
ASA,228,69,92,63,3224,15,33.8,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PC,191,27,102,70,499,6,63.4,PiattoFreddo,ProblemaAdesione
PLA,217,62,105,32,788,18,45.5,HomeFallito;SchermoNero,ProblemaElettrico
ASA,227,31,82,73,3618,18,29.8,PiattoFreddo,ProblemaAdesione
ABS,257,48,95,55,3419,17,20.8,VentolaRumorosa,GuastoTermico
ABS,202,67,129,61,1882,12,54.1,HomeFallito;SchermoNero,ProblemaElettrico
PC,204,57,128,47,1494,9,75.3,Warping;PiattoFreddo;VentolaRumorosa,ProblemaAdesione
ASA,238,57,148,53,3209,33,78.0,RumoreCinghia;LayerSpostati;TicchettioEstrusore;HomeFallito,GuastoMeccanico
NYLON,227,66,53,48,2976,18,37.1,TempInstabile;TempTroppoAlta,GuastoTermico
TPU,231,61,43,95,1645,23,83.7,TempInstabile;OdoreBruciato;HomeFallito;VentolaRumorosa,ProblemaElettrico
PETG,236,62,116,94,1635,9,28.6,TempInstabile;OdoreBruciato,ProblemaElettrico
ASA,239,27,72,42,3189,11,76.0,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,209,54,145,45,2637,7,48.3,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
ABS,236,45,117,76,5309,75,60.3,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
NYLON,237,53,140,38,6198,53,94.9,RumoreCinghia;SottoEstrusione,GuastoMeccanico
NYLON,200,58,116,69,1872,12,23.6,LayerSpostati;SottoEstrusione,GuastoMeccanico
ASA,195,65,195,43,5250,39,43.7,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PC,167,62,147,74,2900,25,58.8,TempInstabile;HomeFallito,GuastoTermico
PLA,232,69,71,32,489,7,90.8,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
NYLON,230,80,48,41,671,7,37.4,TempInstabile;PiattoFreddo,GuastoTermico
TPU,192,62,93,76,133,5,79.9,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
NYLON,193,45,122,32,1426,16,53.3,SchermoNero;TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,235,56,54,64,3482,9,40.0,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
PLA,232,44,130,37,1137,15,15.7,Warping,ProblemaAdesione
ASA,152,61,60,47,1772,5,2.7,TempTroppoAlta;TicchettioEstrusore;VentolaRumorosa,GuastoTermico
PC,201,64,116,75,4088,71,25.3,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
PC,206,41,142,52,446,7,48.1,Warping;TicchettioEstrusore;FilamentoNonEsce,ProblemaAdesione
PETG,213,74,50,47,211,22,21.3,HomeFallito,GuastoMeccanico
PLA,258,79,63,45,3617,16,90.5,TempInstabile;TempTroppoAlta;HomeFallito;VentolaRumorosa,GuastoTermico
ASA,194,24,147,31,3077,57,37.1,FilamentoNonEsce;SchermoNero,ProblemaAdesione
PC,193,43,130,72,1497,19,86.2,TicchettioEstrusore;FilamentoNonEsce,ProblemaAdesione
PLA,235,40,46,77,4000,11,74.5,RumoreCinghia;LayerSpostati;SottoEstrusione,GuastoMeccanico
TPU,233,73,73,39,496,9,80.5,RumoreCinghia;SottoEstrusione;HomeFallito,GuastoMeccanico
ABS,235,72,125,75,1244,13,67.1,LayerSpostati;HomeFallito,GuastoMeccanico
NYLON,278,55,109,78,4992,5,31.1,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PLA,191,44,77,76,2366,19,35.4,HomeFallito,ProblemaElettrico
PETG,230,41,58,31,259,19,33.4,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PETG,159,77,105,57,2344,15,17.6,VentolaRumorosa,GuastoTermico
ABS,240,49,83,55,893,9,70.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,192,46,140,64,3434,52,82.7,RumoreCinghia;HomeFallito,GuastoMeccanico
PETG,196,67,96,77,2940,9,57.9,TempInstabile;HomeFallito,ProblemaElettrico
TPU,218,68,137,69,3749,37,47.1,VentolaRumorosa;TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,204,65,40,62,557,24,69.1,SchermoNero,ProblemaElettrico
TPU,190,44,101,83,2623,7,87.1,TempInstabile;TicchettioEstrusore;OdoreBruciato;SchermoNero,ProblemaElettrico
PC,218,44,139,53,3745,52,16.7,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PC,259,79,69,76,3548,9,40.6,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,215,56,105,79,920,25,81.4,OdoreBruciato;TicchettioEstrusore;HomeFallito;SchermoNero,ProblemaElettrico
PC,233,80,100,92,1460,10,64.7,TempInstabile;VentolaRumorosa;SchermoNero,ProblemaElettrico
ASA,204,45,71,78,1535,19,86.2,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,232,40,102,83,3781,21,35.6,Warping;FilamentoNonEsce,ProblemaAdesione
NYLON,287,66,129,77,2654,9,40.6,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,207,51,150,61,3999,60,76.4,PiattoFreddo,ProblemaAdesione
ABS,190,72,166,47,3401,49,30.0,RumoreCinghia,GuastoMeccanico
PC,217,73,70,53,1768,5,34.1,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PC,208,64,129,38,1160,18,16.1,LayerSpostati,GuastoMeccanico
TPU,257,45,126,60,1472,20,34.6,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,216,51,103,34,3629,21,81.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,193,49,137,48,822,22,22.5,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,192,75,174,46,3293,53,78.5,SottoEstrusione;HomeFallito,GuastoMeccanico
ASA,198,77,155,71,4835,56,11.3,RumoreCinghia;TicchettioEstrusore;HomeFallito,GuastoMeccanico
PC,206,51,108,76,538,17,42.9,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,195,45,61,72,2121,5,63.8,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ABS,220,75,103,61,2446,8,7.8,TempInstabile;OdoreBruciato;HomeFallito;VentolaRumorosa,ProblemaElettrico
ASA,213,46,159,76,4606,44,90.9,RumoreCinghia,GuastoMeccanico
PC,237,56,134,53,971,19,54.4,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,207,34,127,66,2358,22,28.1,Warping;PiattoFreddo,ProblemaAdesione
NYLON,212,80,121,80,6556,54,83.3,LayerSpostati;VentolaRumorosa,GuastoMeccanico
ASA,217,59,135,55,2670,11,44.7,TempTroppoAlta;VentolaRumorosa,GuastoTermico
NYLON,224,69,123,78,2732,11,70.0,TempInstabile;TicchettioEstrusore;OdoreBruciato,ProblemaElettrico
PLA,213,48,105,89,3100,9,9.7,SchermoNero,ProblemaElettrico
PC,220,51,108,80,610,6,15.6,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,237,68,118,91,3862,13,14.7,HomeFallito,ProblemaElettrico
PLA,194,51,146,48,3879,40,27.7,LayerSpostati,GuastoMeccanico
PLA,226,67,64,80,2300,10,62.7,PiattoFreddo,ProblemaAdesione
PC,161,69,143,41,1423,9,36.8,PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,252,45,119,76,2867,18,87.8,TempTroppoAlta;VentolaRumorosa,GuastoTermico
PLA,206,76,134,60,3521,59,75.4,OdoreBruciato;SchermoNero,ProblemaElettrico
TPU,207,68,52,64,2365,24,83.4,LayerSpostati;HomeFallito,GuastoMeccanico
PLA,203,55,129,75,822,19,70.4,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PC,213,56,108,58,3791,18,25.5,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,198,61,138,69,1379,8,38.0,TempInstabile,ProblemaElettrico
ASA,204,58,194,73,3031,46,58.6,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
ABS,233,45,116,39,1863,23,54.8,TempInstabile;HomeFallito,ProblemaElettrico
ASA,228,44,141,64,1210,6,92.1,TicchettioEstrusore;SchermoNero,ProblemaElettrico
PLA,212,54,86,85,2339,20,89.8,TempInstabile;OdoreBruciato;TicchettioEstrusore,ProblemaElettrico
TPU,205,74,101,63,2288,23,59.3,HomeFallito;TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
ABS,222,51,136,66,3284,52,77.2,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,203,71,54,95,824,19,53.0,SchermoNero,ProblemaElettrico
NYLON,229,50,59,77,135,23,92.8,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,234,36,133,34,955,24,43.6,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,202,52,140,73,3834,60,24.9,LayerSpostati;HomeFallito,GuastoMeccanico
TPU,204,46,98,73,3590,18,51.0,HomeFallito,GuastoMeccanico
TPU,209,28,125,82,2308,24,17.2,Warping;FilamentoNonEsce,ProblemaAdesione
NYLON,237,53,97,37,918,23,32.8,Warping,ProblemaAdesione
ABS,202,47,119,62,3275,5,26.7,TempTroppoAlta;PiattoFreddo;HomeFallito,GuastoTermico
NYLON,220,61,111,79,1950,10,51.1,HomeFallito;SchermoNero,ProblemaElettrico
PC,196,68,124,52,571,13,53.8,TempInstabile;PiattoFreddo;SchermoNero,GuastoTermico
ASA,232,44,47,68,784,16,18.6,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,209,56,147,31,3174,59,34.8,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,151,78,79,60,3827,7,32.7,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,216,57,49,60,3404,6,3.9,HomeFallito,GuastoMeccanico
ABS,225,71,86,66,3730,20,29.1,OdoreBruciato,ProblemaElettrico
PETG,222,78,136,74,2252,13,51.6,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PETG,261,75,63,65,4027,21,16.3,TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,222,43,75,62,220,8,64.9,Warping;PiattoFreddo,ProblemaAdesione
PLA,194,49,142,56,779,20,88.6,Warping;FilamentoNonEsce,ProblemaAdesione
PETG,233,59,115,50,800,13,80.2,SottoEstrusione,GuastoMeccanico
PLA,194,73,52,63,3719,21,10.6,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,222,62,158,78,3789,37,96.0,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
TPU,169,55,91,46,1365,9,91.6,TempInstabile;HomeFallito;VentolaRumorosa,GuastoTermico
ASA,226,53,44,61,3117,14,37.3,SchermoNero;VentolaRumorosa,GuastoTermico
PLA,230,43,82,64,1496,25,62.9,HomeFallito,ProblemaElettrico
PLA,195,56,58,89,3938,19,68.4,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PC,198,63,54,50,2980,17,65.4,SottoEstrusione;SchermoNero,GuastoMeccanico
ASA,219,47,118,35,3416,21,68.9,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
NYLON,233,60,80,69,3179,24,3.8,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
PC,190,40,141,89,3149,35,15.5,HomeFallito,ProblemaElettrico
ASA,232,65,86,66,3240,25,22.0,TempInstabile,ProblemaElettrico
NYLON,229,40,189,41,5956,35,74.0,RumoreCinghia;HomeFallito,GuastoMeccanico
PLA,198,52,66,44,1904,14,91.4,RumoreCinghia,GuastoMeccanico
PLA,208,57,125,46,2576,18,32.6,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ASA,216,72,86,38,2586,24,25.8,SottoEstrusione,GuastoMeccanico
ABS,238,72,144,33,3366,33,91.6,Warping;PiattoFreddo,ProblemaAdesione
PC,205,68,184,55,3938,38,45.8,RumoreCinghia;LayerSpostati;VentolaRumorosa,GuastoMeccanico
PETG,206,68,50,60,1410,21,47.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,228,27,73,85,1890,13,43.0,Warping;PiattoFreddo,ProblemaAdesione
ABS,208,39,70,66,135,24,25.4,PiattoFreddo,ProblemaAdesione
PETG,267,68,81,63,4828,7,8.0,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
TPU,194,51,123,75,1842,16,64.8,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PC,212,46,134,65,1692,25,50.5,TempInstabile;HomeFallito,ProblemaElettrico
PETG,215,68,97,68,2274,14,23.6,SottoEstrusione,GuastoMeccanico
PETG,225,73,126,36,2446,12,55.0,HomeFallito,ProblemaElettrico
NYLON,233,53,188,64,4686,47,52.8,RumoreCinghia;HomeFallito,GuastoMeccanico
ABS,165,57,109,53,1519,10,55.0,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,218,49,138,54,2809,22,19.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,223,72,184,53,5044,36,30.1,LayerSpostati,GuastoMeccanico
PC,218,80,138,79,2670,20,59.9,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
ABS,210,58,106,56,3558,22,51.6,TicchettioEstrusore;VentolaRumorosa,GuastoMeccanico
TPU,233,71,154,63,4550,48,16.6,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
NYLON,237,78,141,43,2009,5,79.3,OdoreBruciato;TicchettioEstrusore;HomeFallito,ProblemaElettrico
ASA,224,54,146,62,1316,8,95.6,HomeFallito;SchermoNero,ProblemaElettrico
NYLON,208,70,119,76,536,10,30.0,TempTroppoAlta;VentolaRumorosa,GuastoTermico
PLA,238,58,111,73,2633,12,15.5,LayerSpostati,GuastoMeccanico
PLA,232,68,70,50,928,16,70.1,LayerSpostati,GuastoMeccanico
NYLON,198,72,54,93,3750,25,29.0,TempInstabile,ProblemaElettrico
PETG,215,61,186,66,3924,35,31.8,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PETG,190,73,132,54,3013,44,83.7,TicchettioEstrusore,GuastoMeccanico
ASA,212,66,150,46,1223,22,67.6,HomeFallito;SchermoNero,ProblemaElettrico
ABS,209,50,124,44,646,17,81.7,Warping;PiattoFreddo,ProblemaAdesione
PC,217,40,133,70,3899,31,11.3,Warping;PiattoFreddo;FilamentoNonEsce;SchermoNero,ProblemaAdesione
PLA,236,44,141,95,1705,5,20.9,OdoreBruciato;HomeFallito,ProblemaElettrico
PLA,200,33,141,77,1019,22,49.6,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,263,74,60,60,3819,11,39.7,TempInstabile;PiattoFreddo,GuastoTermico
ASA,289,59,123,61,3946,49,63.4,TempInstabile;TempTroppoAlta,GuastoTermico
PC,235,55,133,52,1124,5,31.0,Warping;PiattoFreddo;FilamentoNonEsce;SchermoNero,ProblemaAdesione
PETG,227,75,144,72,2880,11,33.3,PiattoFreddo,ProblemaAdesione
ABS,221,54,41,88,3025,9,46.1,OdoreBruciato,ProblemaElettrico
PETG,208,76,146,63,3483,43,65.7,RumoreCinghia,GuastoMeccanico
TPU,236,58,44,65,783,6,18.6,OdoreBruciato;SchermoNero,ProblemaElettrico
ABS,218,65,142,68,1832,16,91.1,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PC,260,62,138,36,1854,7,47.9,PiattoFreddo;VentolaRumorosa,GuastoTermico
ASA,209,74,74,65,235,7,28.0,OdoreBruciato;VentolaRumorosa,ProblemaElettrico
